0a,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a
2a,1a,2a,1a,8a,3a,0a,5a,2a,1a,5a,2a,8a,2a,1a
12a,3a,14a,11a,13a,6a,13a,5a,1a,0a,9a,7a,12a,2a,0a
15a,6a,6a,9a,0a,2a,13a,4a,2a,1a,15a,14a,14a,33a,0a
13a,6a,2a,2a,9a,0a,5a,2a,0a,0a,14a,6a,15a,13a,0a
10a,2a,10a,1a,8a,0a,13a,3a,3a,1a,11a,0a,5a,17a,0a
8a,2a,4a,14a,9a,5a,10a,1a,2a,0a,9a,11a,14a,9a,0a
13a,2a,3a,2a,5a,1a,6a,0a,1a,0a,10a,11a,9a,23a,1a
13a,1a,4a,7a,10a,1a,9a,4a,1a,1a,9a,15a,12a,1a,1a
2a,0a,12a,1a,4a,0a,2a,3a,4a,0a,15a,10a,4a,2a,0a
1a,1a,6a,0a,14a,6a,13a,4a,0a,0a,7a,2a,15a,18a,1a
4a,4a,11a,10a,2a,2a,3a,2a,0a,1a,0a,11a,7a,33a,0a
12a,2a,11a,8a,3a,6a,5a,3a,0a,0a,5a,6a,15a,11a,1a
1a,1a,1a,6a,1a,1a,13a,1a,2a,0a,2a,10a,2a,11a,0a
7a,6a,12a,11a,14a,4a,13a,3a,1a,1a,3a,10a,7a,15a,1a
1a,6a,11a,0a,1a,1a,11a,4a,1a,0a,11a,4a,1a,9a,0a
15a,6a,5a,1a,2a,3a,12a,2a,4a,1a,12a,10a,0a,37a,0a
11a,5a,15a,1a,11a,3a,7a,2a,3a,1a,3a,6a,2a,9a,1a
3a,1a,15a,8a,14a,1a,12a,1a,4a,1a,13a,12a,15a,11a,1a
11a,3a,3a,7a,10a,2a,2a,5a,2a,1a,7a,3a,4a,26a,0a
13a,2a,9a,9a,1a,0a,5a,4a,2a,0a,8a,0a,3a,11a,1a
6a,3a,7a,8a,4a,4a,11a,4a,2a,0a,2a,14a,2a,25a,0a
2a,0a,4a,13a,2a,3a,8a,1a,4a,1a,15a,14a,14a,14a,1a
7a,3a,5a,5a,4a,4a,1a,4a,2a,1a,14a,14a,13a,40a,1a
8a,2a,4a,3a,1a,4a,9a,4a,2a,0a,14a,10a,11a,11a,1a
12a,6a,11a,15a,5a,4a,4a,2a,2a,1a,6a,12a,1a,24a,1a
7a,3a,13a,0a,11a,3a,13a,1a,3a,0a,7a,8a,2a,22a,0a
15a,4a,15a,0a,11a,2a,2a,5a,0a,0a,2a,5a,14a,0a,1a
4a,3a,12a,1a,4a,2a,7a,1a,4a,1a,6a,12a,14a,25a,0a
5a,0a,12a,1a,5a,4a,10a,2a,2a,1a,12a,12a,9a,4a,1a
3a,5a,14a,8a,2a,0a,2a,2a,2a,1a,11a,11a,6a,23a,0a
0a,3a,5a,8a,5a,3a,3a,1a,4a,1a,12a,6a,5a,9a,1a
4a,3a,12a,6a,8a,0a,1a,4a,4a,0a,15a,6a,5a,40a,1a
11a,6a,12a,9a,2a,5a,3a,0a,4a,0a,4a,7a,11a,36a,0a
8a,2a,2a,11a,11a,2a,4a,5a,2a,1a,4a,7a,4a,23a,1a
14a,4a,3a,12a,13a,1a,2a,0a,3a,0a,1a,12a,15a,40a,1a
1a,6a,2a,7a,9a,0a,5a,4a,3a,0a,1a,7a,14a,35a,0a
2a,0a,1a,13a,11a,1a,3a,0a,2a,1a,2a,14a,4a,6a,1a
1a,6a,14a,3a,1a,3a,10a,3a,4a,0a,12a,2a,8a,24a,1a
2a,6a,3a,15a,9a,0a,6a,2a,0a,1a,9a,14a,8a,20a,0a
3a,3a,15a,15a,15a,1a,1a,5a,3a,0a,14a,5a,10a,13a,1a
14a,5a,11a,8a,6a,1a,4a,3a,3a,1a,14a,6a,8a,12a,0a
15a,1a,0a,14a,12a,3a,9a,2a,4a,0a,1a,10a,10a,34a,1a
2a,0a,3a,1a,1a,2a,2a,2a,4a,1a,11a,8a,2a,27a,0a
15a,0a,9a,3a,2a,3a,10a,2a,4a,0a,12a,2a,13a,24a,0a
2a,3a,1a,8a,9a,6a,1a,4a,2a,1a,6a,3a,12a,35a,1a
15a,0a,8a,4a,6a,6a,5a,1a,3a,0a,13a,2a,5a,18a,0a
5a,4a,12a,3a,6a,4a,8a,3a,0a,1a,9a,14a,15a,6a,1a
8a,3a,9a,7a,14a,3a,6a,0a,2a,1a,12a,1a,14a,39a,1a
8a,6a,14a,3a,8a,3a,7a,3a,2a,1a,2a,1a,0a,20a,1a
5a,0a,8a,6a,0a,6a,3a,2a,0a,0a,13a,7a,10a,31a,1a
6a,5a,13a,5a,13a,0a,4a,1a,0a,0a,13a,11a,1a,10a,0a
11a,3a,10a,6a,3a,4a,5a,2a,4a,0a,8a,11a,0a,23a,0a
0a,2a,15a,11a,10a,2a,10a,5a,3a,0a,4a,2a,15a,4a,1a
6a,4a,15a,6a,12a,0a,1a,1a,4a,0a,15a,1a,11a,4a,1a
1a,1a,12a,7a,14a,6a,6a,4a,0a,0a,10a,0a,8a,39a,1a
10a,1a,1a,2a,5a,0a,5a,0a,2a,0a,9a,13a,11a,15a,0a
14a,2a,2a,10a,7a,1a,7a,0a,0a,0a,8a,4a,6a,12a,1a
15a,1a,12a,6a,0a,2a,6a,4a,4a,1a,5a,9a,3a,22a,0a
4a,4a,9a,8a,9a,5a,13a,1a,4a,1a,3a,11a,6a,2a,0a
6a,4a,12a,11a,2a,6a,0a,1a,0a,0a,5a,5a,9a,21a,0a
6a,2a,14a,14a,15a,1a,13a,5a,3a,0a,8a,12a,3a,32a,1a
10a,6a,11a,0a,12a,4a,8a,5a,2a,0a,13a,8a,12a,35a,0a
11a,2a,11a,11a,7a,0a,8a,0a,0a,1a,10a,10a,5a,33a,0a
9a,3a,1a,8a,9a,3a,3a,0a,3a,0a,6a,11a,8a,26a,1a
14a,5a,5a,0a,4a,5a,0a,2a,0a,0a,6a,15a,4a,34a,0a
12a,5a,10a,1a,11a,1a,5a,1a,2a,1a,5a,15a,7a,28a,0a
11a,2a,0a,3a,9a,2a,6a,3a,4a,1a,6a,4a,10a,9a,1a
5a,3a,10a,3a,13a,3a,8a,5a,4a,0a,0a,4a,7a,0a,1a
0a,1a,5a,11a,10a,1a,7a,3a,2a,1a,8a,7a,9a,12a,1a
4a,0a,8a,8a,13a,4a,7a,5a,1a,0a,0a,6a,8a,39a,0a
8a,5a,1a,12a,11a,2a,13a,4a,1a,1a,4a,5a,8a,2a,1a
5a,0a,4a,2a,14a,1a,3a,1a,1a,1a,2a,12a,3a,32a,1a
14a,2a,14a,10a,13a,1a,12a,2a,1a,0a,8a,9a,0a,14a,1a
13a,6a,14a,12a,4a,4a,12a,0a,4a,1a,11a,6a,6a,6a,0a
2a,4a,10a,12a,0a,3a,10a,1a,1a,0a,5a,3a,13a,38a,0a
11a,1a,6a,11a,12a,0a,10a,1a,4a,1a,11a,3a,13a,33a,0a
2a,1a,4a,10a,7a,1a,0a,2a,1a,0a,15a,3a,5a,25a,1a
3a,1a,5a,2a,12a,3a,6a,4a,1a,0a,10a,9a,4a,40a,1a
4a,5a,11a,15a,12a,4a,6a,2a,3a,1a,10a,12a,8a,10a,1a
12a,2a,1a,9a,2a,5a,12a,0a,4a,0a,4a,10a,14a,31a,1a
2a,0a,7a,6a,13a,4a,10a,4a,2a,1a,6a,14a,1a,2a,1a
11a,5a,7a,12a,6a,0a,9a,5a,0a,0a,1a,13a,0a,19a,0a
12a,6a,12a,5a,5a,3a,0a,2a,3a,0a,2a,4a,3a,29a,0a
15a,2a,9a,5a,5a,2a,8a,0a,3a,1a,12a,8a,7a,36a,1a
7a,4a,5a,4a,6a,4a,2a,1a,2a,0a,15a,9a,12a,38a,0a
13a,1a,1a,4a,8a,3a,6a,2a,0a,1a,14a,4a,4a,26a,1a
2a,1a,15a,3a,5a,0a,2a,4a,3a,0a,3a,13a,11a,36a,1a
13a,6a,13a,1a,9a,0a,3a,2a,4a,1a,10a,3a,1a,35a,1a
6a,3a,15a,12a,13a,1a,11a,5a,3a,0a,8a,12a,4a,11a,0a
1a,3a,9a,8a,12a,6a,9a,0a,1a,0a,0a,13a,12a,12a,0a
11a,4a,13a,1a,2a,6a,6a,4a,3a,1a,2a,7a,2a,9a,0a
2a,5a,3a,3a,3a,1a,13a,4a,1a,0a,9a,5a,0a,5a,0a
14a,5a,6a,5a,5a,1a,1a,0a,1a,1a,13a,1a,15a,15a,0a
7a,3a,1a,8a,10a,2a,12a,5a,2a,1a,3a,6a,14a,21a,0a
10a,5a,6a,2a,13a,5a,9a,4a,0a,0a,4a,12a,13a,13a,1a
13a,3a,6a,6a,11a,6a,9a,3a,4a,0a,8a,8a,11a,26a,0a
10a,0a,7a,14a,1a,6a,11a,1a,1a,1a,5a,12a,3a,10a,1a
13a,5a,0a,10a,0a,1a,2a,4a,3a,1a,6a,0a,15a,0a,0a
15a,5a,12a,14a,4a,5a,2a,0a,2a,1a,11a,3a,13a,21a,0a
15a,0a,13a,8a,3a,4a,0a,5a,3a,1a,9a,1a,3a,25a,1a
11a,4a,14a,15a,4a,3a,1a,2a,0a,0a,15a,2a,7a,5a,0a
13a,1a,7a,12a,1a,6a,8a,3a,0a,0a,14a,14a,0a,20a,0a
1a,2a,2a,9a,12a,6a,10a,5a,1a,1a,4a,11a,12a,19a,1a
14a,1a,0a,1a,1a,5a,12a,4a,2a,1a,12a,12a,7a,30a,1a
4a,2a,0a,6a,1a,2a,0a,2a,2a,1a,5a,11a,4a,38a,1a
3a,5a,5a,5a,12a,5a,2a,0a,1a,0a,5a,7a,7a,22a,0a
12a,0a,6a,10a,5a,3a,0a,5a,3a,1a,6a,10a,9a,6a,1a
6a,4a,0a,9a,11a,3a,12a,4a,1a,0a,2a,5a,7a,28a,0a
11a,0a,5a,4a,11a,3a,13a,0a,0a,1a,2a,5a,4a,31a,0a
12a,1a,13a,0a,15a,5a,10a,0a,4a,0a,4a,0a,7a,24a,1a
6a,3a,8a,2a,15a,2a,2a,5a,4a,1a,14a,7a,9a,10a,1a
7a,3a,5a,11a,5a,5a,10a,1a,4a,0a,13a,13a,2a,12a,0a
0a,6a,0a,0a,8a,1a,0a,0a,0a,1a,10a,5a,5a,1a,0a
8a,0a,12a,10a,8a,4a,10a,2a,4a,0a,3a,11a,3a,18a,0a
9a,3a,11a,8a,1a,6a,0a,4a,1a,1a,6a,15a,9a,33a,0a
13a,4a,7a,0a,2a,1a,10a,1a,2a,0a,7a,8a,9a,18a,1a
15a,2a,12a,9a,15a,0a,5a,5a,0a,1a,3a,15a,0a,28a,0a
8a,1a,2a,11a,14a,4a,2a,5a,4a,0a,9a,9a,0a,29a,0a
15a,5a,0a,8a,7a,0a,2a,2a,1a,0a,4a,10a,3a,14a,1a
8a,1a,1a,1a,8a,0a,5a,2a,4a,1a,15a,7a,14a,23a,0a
3a,1a,9a,14a,13a,5a,10a,1a,1a,0a,12a,6a,1a,40a,0a
11a,5a,5a,14a,11a,6a,10a,2a,0a,1a,11a,8a,6a,26a,0a
6a,4a,11a,14a,0a,6a,1a,4a,1a,1a,12a,7a,2a,1a,0a
3a,5a,10a,15a,8a,3a,8a,5a,0a,0a,2a,8a,2a,40a,0a
8a,2a,12a,2a,9a,0a,6a,3a,4a,1a,2a,0a,14a,7a,1a
15a,2a,1a,5a,11a,6a,3a,2a,1a,1a,6a,0a,1a,21a,1a
3a,0a,1a,5a,0a,2a,9a,5a,2a,1a,0a,7a,8a,1a,1a
13a,1a,13a,12a,4a,3a,12a,2a,4a,0a,6a,12a,11a,35a,1a
2a,0a,2a,15a,3a,3a,10a,1a,2a,0a,4a,4a,2a,15a,1a
3a,4a,10a,1a,13a,4a,13a,2a,2a,1a,7a,8a,7a,23a,0a
14a,3a,14a,9a,3a,2a,2a,3a,1a,1a,12a,4a,6a,8a,0a
7a,4a,9a,8a,6a,1a,3a,5a,1a,1a,1a,15a,4a,22a,0a
6a,2a,9a,5a,14a,1a,12a,1a,4a,0a,15a,10a,14a,32a,1a
1a,0a,7a,4a,10a,1a,11a,2a,2a,1a,9a,3a,6a,1a,0a
10a,0a,12a,10a,1a,2a,4a,4a,2a,0a,15a,15a,4a,4a,1a
11a,2a,5a,2a,10a,1a,5a,1a,3a,0a,5a,15a,4a,11a,0a
0a,6a,10a,14a,11a,3a,5a,2a,2a,0a,5a,2a,15a,24a,0a
2a,5a,0a,10a,4a,1a,11a,1a,0a,1a,15a,7a,6a,1a,1a
13a,6a,8a,15a,10a,6a,7a,3a,1a,0a,6a,7a,5a,14a,1a
13a,3a,4a,0a,11a,6a,1a,3a,2a,0a,11a,2a,7a,21a,0a
14a,4a,1a,9a,11a,0a,3a,2a,2a,1a,8a,3a,13a,35a,0a
13a,4a,6a,14a,10a,1a,5a,5a,4a,0a,12a,9a,4a,39a,0a
5a,4a,12a,15a,13a,0a,4a,0a,4a,0a,9a,13a,6a,37a,0a
9a,5a,3a,7a,12a,0a,7a,2a,2a,0a,13a,5a,9a,7a,1a
8a,1a,0a,1a,1a,5a,5a,1a,2a,1a,13a,1a,12a,16a,0a
1a,6a,11a,15a,6a,6a,6a,3a,0a,0a,15a,7a,11a,35a,0a
9a,5a,5a,6a,1a,5a,1a,1a,3a,1a,14a,10a,6a,39a,1a
10a,2a,6a,10a,15a,4a,13a,5a,2a,0a,9a,15a,0a,19a,0a
0a,3a,7a,4a,11a,0a,2a,0a,0a,1a,15a,15a,14a,40a,0a
4a,3a,3a,1a,1a,2a,5a,4a,0a,0a,13a,11a,10a,40a,1a
2a,3a,10a,11a,15a,4a,12a,0a,4a,0a,12a,5a,15a,11a,1a
12a,2a,4a,4a,9a,5a,7a,0a,1a,1a,7a,8a,0a,26a,1a
13a,2a,5a,14a,12a,5a,12a,4a,3a,1a,2a,4a,10a,16a,0a
15a,5a,13a,7a,14a,6a,9a,4a,2a,0a,6a,1a,9a,31a,1a
9a,4a,6a,1a,10a,3a,12a,4a,4a,1a,10a,11a,2a,5a,1a
11a,4a,3a,11a,11a,3a,8a,2a,0a,0a,12a,7a,9a,24a,0a
9a,6a,6a,9a,0a,1a,10a,5a,0a,1a,7a,4a,6a,37a,0a
13a,6a,12a,4a,5a,3a,5a,4a,3a,1a,11a,6a,8a,11a,0a
8a,4a,14a,3a,13a,4a,7a,2a,1a,1a,6a,11a,10a,21a,1a
8a,1a,6a,14a,13a,3a,0a,0a,4a,0a,15a,8a,14a,10a,0a
3a,2a,3a,0a,4a,2a,6a,5a,4a,1a,14a,13a,8a,9a,1a
5a,1a,2a,10a,2a,5a,9a,1a,0a,0a,11a,4a,10a,36a,0a
0a,1a,0a,12a,4a,2a,11a,0a,4a,0a,7a,14a,14a,32a,0a
7a,1a,12a,0a,7a,4a,10a,3a,2a,1a,13a,2a,7a,14a,1a
5a,3a,4a,5a,14a,6a,5a,1a,3a,0a,7a,2a,3a,12a,0a
11a,3a,2a,12a,7a,2a,12a,3a,0a,1a,12a,13a,13a,14a,0a
9a,5a,1a,6a,0a,1a,7a,1a,1a,0a,14a,15a,5a,24a,0a
14a,6a,8a,13a,4a,3a,3a,3a,1a,1a,7a,9a,4a,19a,0a
4a,0a,11a,3a,1a,5a,13a,2a,2a,1a,6a,0a,3a,15a,0a
3a,1a,7a,8a,8a,3a,10a,5a,1a,0a,11a,9a,7a,33a,0a
4a,0a,9a,4a,2a,3a,11a,4a,4a,1a,10a,8a,12a,32a,1a
11a,6a,5a,12a,3a,3a,5a,5a,2a,0a,14a,9a,0a,13a,0a
4a,5a,4a,10a,12a,2a,1a,1a,4a,1a,6a,4a,2a,38a,1a
6a,1a,12a,4a,9a,2a,10a,3a,4a,1a,5a,11a,3a,9a,0a
2a,5a,6a,15a,8a,6a,2a,1a,1a,1a,10a,0a,15a,39a,1a
9a,6a,10a,7a,4a,2a,5a,4a,2a,0a,8a,1a,14a,18a,1a
0a,6a,11a,5a,12a,4a,12a,2a,0a,0a,11a,12a,6a,10a,0a
13a,1a,5a,2a,1a,3a,4a,4a,2a,0a,10a,2a,5a,12a,1a
1a,1a,13a,8a,2a,0a,10a,4a,3a,1a,12a,9a,2a,10a,1a
7a,1a,12a,13a,15a,5a,10a,5a,3a,0a,15a,4a,2a,17a,1a
11a,1a,11a,8a,2a,1a,8a,5a,3a,0a,5a,6a,5a,21a,1a
13a,3a,2a,5a,13a,5a,4a,1a,2a,0a,2a,4a,1a,35a,0a
3a,2a,5a,8a,12a,5a,11a,2a,1a,1a,12a,14a,0a,28a,1a
4a,1a,14a,5a,8a,3a,1a,0a,0a,0a,14a,14a,3a,40a,0a
4a,1a,6a,7a,15a,3a,11a,2a,0a,1a,6a,15a,15a,7a,1a
13a,2a,11a,10a,10a,2a,11a,3a,4a,0a,15a,12a,13a,10a,1a
12a,4a,3a,1a,4a,2a,2a,0a,4a,1a,9a,9a,9a,3a,0a
1a,1a,15a,5a,1a,6a,6a,3a,3a,1a,14a,14a,1a,5a,1a
8a,4a,13a,10a,9a,5a,8a,3a,2a,0a,15a,12a,7a,5a,0a
11a,4a,3a,13a,13a,6a,10a,2a,3a,1a,14a,12a,6a,34a,0a
9a,0a,14a,1a,9a,1a,5a,1a,4a,1a,1a,15a,12a,8a,1a
8a,3a,2a,8a,8a,6a,6a,3a,0a,1a,12a,12a,5a,29a,0a
10a,1a,12a,5a,9a,0a,0a,0a,2a,1a,9a,13a,1a,20a,0a
3a,2a,1a,8a,3a,1a,1a,3a,4a,0a,6a,2a,6a,20a,0a
5a,4a,0a,6a,7a,4a,0a,2a,4a,1a,6a,11a,9a,14a,1a
11a,0a,14a,15a,6a,6a,3a,5a,4a,1a,4a,7a,5a,12a,0a
3a,6a,8a,10a,9a,2a,8a,0a,4a,1a,15a,7a,5a,19a,1a
4a,5a,14a,15a,4a,1a,2a,2a,0a,0a,9a,5a,10a,13a,1a
15a,5a,3a,1a,2a,2a,9a,4a,0a,1a,5a,15a,8a,17a,0a
6a,4a,12a,13a,11a,3a,13a,5a,0a,1a,15a,10a,5a,22a,0a
10a,6a,14a,8a,8a,4a,11a,2a,2a,1a,4a,0a,0a,2a,1a
2a,3a,11a,4a,10a,2a,0a,5a,0a,1a,3a,11a,0a,17a,1a
6a,3a,13a,1a,14a,0a,0a,1a,1a,0a,1a,6a,10a,14a,0a
9a,3a,0a,2a,9a,2a,10a,5a,0a,0a,12a,4a,11a,34a,1a
0a,5a,14a,3a,14a,6a,5a,4a,2a,0a,11a,6a,13a,35a,1a
15a,4a,7a,0a,14a,3a,13a,0a,0a,1a,4a,8a,5a,6a,0a
4a,2a,6a,12a,6a,5a,9a,3a,1a,1a,7a,0a,12a,19a,1a
15a,2a,3a,13a,9a,0a,1a,5a,1a,0a,8a,13a,10a,32a,1a
5a,0a,13a,6a,15a,0a,11a,3a,0a,0a,6a,3a,6a,23a,0a
6a,4a,7a,11a,11a,1a,5a,2a,3a,1a,5a,10a,5a,5a,1a
13a,6a,9a,10a,5a,0a,4a,2a,0a,1a,6a,8a,0a,7a,1a
7a,6a,2a,5a,15a,6a,5a,4a,0a,0a,1a,10a,10a,25a,1a
2a,0a,12a,6a,4a,3a,6a,4a,4a,1a,1a,3a,12a,19a,1a
0a,1a,1a,10a,3a,3a,13a,4a,3a,1a,2a,8a,10a,39a,0a
4a,6a,12a,6a,14a,1a,4a,3a,0a,0a,11a,8a,3a,19a,0a
9a,6a,11a,4a,9a,1a,6a,1a,2a,0a,6a,1a,1a,5a,0a
1a,6a,1a,5a,2a,5a,5a,1a,0a,0a,6a,10a,9a,31a,0a
14a,1a,8a,7a,2a,6a,6a,0a,2a,0a,4a,8a,1a,36a,0a
0a,1a,14a,5a,5a,0a,10a,1a,3a,1a,5a,7a,5a,4a,1a
10a,4a,3a,8a,14a,6a,10a,2a,4a,0a,14a,10a,10a,22a,1a
7a,6a,7a,7a,4a,6a,13a,5a,4a,1a,14a,14a,7a,7a,0a
5a,1a,7a,6a,15a,6a,4a,1a,0a,0a,12a,15a,12a,7a,1a
9a,5a,8a,9a,8a,2a,8a,4a,3a,1a,5a,6a,1a,28a,0a
0a,4a,8a,5a,15a,4a,5a,3a,2a,0a,10a,4a,5a,40a,0a
12a,4a,6a,0a,8a,3a,2a,4a,1a,1a,7a,0a,7a,40a,0a
11a,3a,6a,14a,15a,3a,6a,0a,2a,0a,6a,9a,12a,5a,0a
15a,2a,10a,9a,15a,3a,10a,2a,0a,1a,11a,8a,6a,28a,0a
9a,1a,8a,0a,2a,0a,13a,4a,3a,0a,12a,13a,14a,3a,1a
12a,0a,4a,12a,4a,0a,11a,5a,0a,1a,2a,12a,14a,20a,0a
10a,3a,3a,8a,15a,6a,0a,2a,1a,1a,4a,7a,12a,5a,1a
3a,6a,13a,15a,2a,4a,6a,5a,1a,0a,10a,10a,10a,4a,0a
8a,5a,5a,11a,12a,3a,4a,0a,1a,0a,4a,10a,8a,26a,0a
5a,2a,2a,6a,2a,0a,1a,3a,1a,1a,8a,3a,10a,7a,1a
7a,4a,3a,8a,4a,1a,4a,4a,3a,0a,9a,15a,5a,40a,0a
3a,4a,10a,15a,4a,1a,1a,4a,0a,1a,9a,12a,6a,4a,0a
3a,1a,4a,13a,9a,3a,8a,5a,0a,0a,15a,6a,9a,7a,1a
12a,5a,4a,9a,9a,3a,12a,2a,4a,0a,8a,13a,11a,22a,0a
6a,0a,9a,5a,8a,4a,11a,1a,4a,0a,15a,11a,15a,33a,1a
4a,2a,3a,1a,5a,1a,12a,5a,3a,0a,12a,5a,5a,9a,0a
6a,2a,4a,3a,4a,1a,2a,5a,2a,0a,4a,13a,1a,24a,0a
10a,4a,2a,2a,0a,0a,1a,0a,3a,1a,6a,8a,10a,2a,1a
7a,4a,5a,10a,4a,3a,0a,2a,2a,0a,15a,11a,9a,16a,1a
2a,0a,12a,1a,3a,1a,0a,2a,1a,0a,5a,10a,5a,23a,0a
14a,4a,1a,2a,2a,6a,12a,0a,0a,1a,8a,6a,2a,13a,1a
7a,4a,3a,3a,8a,6a,0a,3a,4a,0a,2a,6a,1a,12a,0a
2a,4a,7a,8a,1a,3a,8a,2a,0a,1a,5a,0a,9a,18a,1a
13a,2a,1a,11a,2a,6a,4a,3a,0a,0a,5a,7a,7a,22a,0a
7a,5a,4a,6a,9a,1a,9a,5a,4a,1a,2a,12a,10a,8a,1a
2a,3a,6a,14a,1a,4a,13a,3a,1a,0a,1a,11a,3a,30a,0a
6a,4a,4a,15a,2a,3a,9a,0a,1a,1a,13a,12a,3a,10a,0a
0a,6a,10a,4a,7a,6a,11a,3a,2a,1a,0a,15a,3a,21a,1a
8a,6a,5a,10a,3a,3a,1a,2a,2a,0a,11a,15a,7a,10a,0a
13a,3a,2a,6a,6a,1a,5a,5a,1a,0a,15a,4a,1a,35a,1a
4a,6a,15a,11a,6a,0a,1a,4a,0a,0a,10a,10a,11a,24a,0a
8a,6a,12a,9a,7a,6a,3a,3a,3a,0a,9a,14a,4a,27a,1a
5a,0a,6a,8a,5a,1a,10a,2a,0a,1a,14a,5a,7a,7a,0a
12a,0a,6a,15a,6a,0a,2a,2a,3a,1a,15a,7a,2a,21a,0a
3a,3a,14a,2a,4a,2a,9a,4a,4a,0a,9a,12a,10a,0a,0a
3a,5a,2a,1a,10a,4a,5a,0a,3a,1a,6a,11a,15a,34a,0a
8a,1a,1a,1a,2a,2a,6a,0a,2a,0a,5a,1a,0a,13a,1a
10a,1a,3a,8a,10a,5a,3a,4a,4a,1a,0a,14a,2a,0a,1a
7a,6a,5a,2a,2a,6a,10a,2a,1a,0a,5a,12a,7a,11a,0a
7a,1a,2a,7a,7a,0a,4a,2a,4a,0a,9a,3a,8a,35a,0a
8a,6a,4a,3a,7a,4a,10a,1a,4a,0a,2a,10a,4a,9a,1a
3a,3a,6a,11a,2a,1a,3a,3a,1a,1a,15a,7a,15a,26a,1a
0a,0a,13a,1a,4a,0a,0a,4a,1a,0a,0a,7a,13a,19a,1a
3a,0a,6a,2a,3a,1a,4a,5a,2a,1a,0a,4a,5a,36a,0a
2a,4a,5a,4a,13a,3a,11a,0a,2a,1a,14a,11a,8a,22a,0a
10a,3a,10a,3a,4a,3a,3a,4a,4a,1a,7a,12a,11a,15a,0a
8a,5a,13a,6a,14a,2a,9a,5a,2a,0a,4a,8a,11a,5a,0a
7a,5a,15a,14a,13a,0a,3a,3a,3a,0a,4a,13a,11a,37a,1a
8a,3a,0a,5a,1a,2a,4a,2a,1a,0a,3a,5a,1a,37a,0a
13a,5a,0a,6a,0a,4a,5a,2a,1a,1a,14a,13a,15a,21a,0a
10a,1a,9a,2a,4a,3a,10a,4a,2a,0a,6a,5a,8a,12a,0a
10a,2a,7a,15a,12a,1a,1a,4a,2a,1a,8a,12a,5a,16a,0a
15a,3a,11a,8a,14a,0a,2a,0a,2a,1a,5a,11a,12a,3a,0a
3a,1a,9a,0a,1a,0a,8a,3a,2a,0a,6a,11a,10a,1a,0a
12a,6a,6a,7a,2a,6a,13a,1a,0a,0a,9a,2a,6a,36a,0a
8a,3a,11a,1a,4a,2a,12a,1a,1a,0a,8a,11a,1a,8a,0a
12a,3a,8a,8a,15a,3a,5a,1a,4a,0a,5a,5a,11a,1a,1a
8a,2a,9a,12a,3a,1a,9a,0a,3a,0a,11a,4a,4a,33a,0a
12a,3a,8a,9a,14a,6a,2a,2a,0a,0a,12a,11a,15a,9a,0a
8a,1a,0a,12a,9a,0a,2a,1a,4a,0a,10a,3a,9a,16a,1a
13a,2a,7a,8a,8a,0a,12a,2a,4a,1a,11a,13a,4a,17a,1a
2a,3a,3a,11a,13a,5a,6a,2a,3a,1a,9a,9a,4a,23a,1a
7a,1a,15a,2a,9a,5a,4a,4a,4a,1a,0a,0a,2a,0a,0a
10a,0a,5a,6a,3a,5a,11a,3a,3a,1a,2a,12a,4a,13a,0a
1a,0a,4a,6a,0a,4a,8a,4a,1a,1a,4a,12a,10a,14a,1a
0a,1a,14a,14a,8a,3a,10a,3a,2a,1a,11a,9a,7a,39a,0a
6a,4a,0a,14a,7a,5a,0a,5a,1a,0a,8a,1a,11a,16a,0a
13a,2a,1a,2a,13a,0a,10a,3a,0a,0a,11a,0a,3a,0a,1a
1a,6a,6a,0a,0a,2a,0a,5a,1a,0a,10a,12a,4a,13a,0a
13a,5a,1a,3a,9a,6a,6a,5a,3a,0a,6a,8a,12a,6a,1a
10a,2a,14a,3a,9a,3a,1a,4a,2a,1a,5a,14a,12a,39a,0a
2a,4a,8a,4a,13a,1a,9a,3a,1a,1a,14a,15a,1a,5a,0a
7a,1a,3a,8a,7a,5a,0a,4a,1a,0a,11a,1a,14a,5a,0a
14a,6a,4a,12a,11a,1a,4a,4a,2a,1a,8a,0a,14a,28a,1a
6a,6a,12a,10a,6a,0a,9a,1a,1a,0a,6a,10a,12a,12a,0a
2a,1a,0a,4a,10a,4a,10a,2a,2a,1a,7a,10a,11a,25a,1a
14a,3a,4a,3a,6a,0a,3a,2a,2a,0a,5a,11a,5a,28a,0a
8a,2a,2a,2a,3a,5a,11a,3a,2a,1a,2a,13a,8a,33a,1a
11a,0a,3a,11a,5a,0a,8a,4a,1a,1a,15a,3a,10a,21a,1a
6a,1a,9a,9a,4a,4a,9a,1a,4a,1a,0a,3a,13a,1a,0a
1a,6a,10a,15a,6a,4a,7a,5a,1a,1a,12a,5a,14a,22a,0a
0a,3a,11a,4a,5a,0a,0a,2a,0a,0a,12a,10a,8a,25a,0a
4a,6a,11a,11a,1a,5a,5a,5a,2a,1a,7a,11a,8a,11a,1a
3a,6a,14a,9a,4a,5a,8a,4a,4a,1a,14a,10a,0a,31a,1a
1a,2a,11a,13a,6a,2a,6a,4a,0a,0a,15a,8a,14a,28a,1a
6a,0a,14a,12a,15a,5a,1a,3a,4a,1a,15a,13a,2a,8a,1a
12a,2a,6a,6a,11a,2a,11a,4a,4a,0a,10a,1a,12a,8a,0a
